,neighbourhood_group, mean_price,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,new_price
0,Bronx,92.75147928994085,44096,Room with a View,190409,Waundell,Highbridge,40.83232,-73.93184,Private room,50,1,277,2020-02-25,2.29,3,364,5000
1,Bronx,92.75147928994085,45935,Room in Beautiful Townhouse.,204586,L,Port Morris,40.8064,-73.92395,Private room,60,3,0,,,1,83,6000
2,Bronx,92.75147928994085,54626,Cozy bedroom by Yankee Stadium,190409,Waundell,Highbridge,40.83075,-73.93058,Private room,55,1,181,2020-03-06,1.66,3,364,5500
3,Bronx,92.75147928994085,63588,LL3,295128,Carol Gloria,Clason Point,40.81309,-73.85514,Private room,89,2,0,,,7,270,8900
4,Bronx,92.75147928994085,63610,DOMINIQUE'S NY mini efficiency pad* SANITIZED* wow,310670,Vie,Eastchester,40.881,-73.83511,Entire home/apt,102,2,44,2020-06-28,0.49,9,363,10200
5,Bronx,92.75147928994085,71812,Condo Apartment with Laundry and Assigned Parking,369015,Thai,Kingsbridge,40.87207,-73.90193,Entire home/apt,99,25,8,2020-07-16,0.32,2,304,9900
6,Bronx,92.75147928994085,149777,Artistic Couples Retreat,716306,"Dee, Dre & Mama Shelley",Woodlawn,40.89747,-73.8639,Entire home/apt,114,2,247,2020-08-02,2.66,1,358,11400
7,Bronx,92.75147928994085,169306,Affordable & Cozy,806214,Vanessa,University Heights,40.85811,-73.90675,Private room,37,4,136,2020-05-12,1.23,1,326,3700
8,Bronx,92.75147928994085,182177,A PRIVATE FLAT / APARTMENT- $SPECIAL$,873273,Christian & Carla,Allerton,40.86466,-73.85709,Entire home/apt,125,28,303,2020-03-12,2.78,2,363,12500
9,Bronx,92.75147928994085,245544,NY/ Big Room for 2 near Manhattan,1260921,Victor,Kingsbridge,40.8679,-73.90023,Private room,43,2,120,2020-05-04,2.3,2,0,4300
10,Bronx,92.75147928994085,385824,New York City- Riverdale Modern two bedrooms unit,1931205,Orit,Spuyten Duyvil,40.87991,-73.91673,Entire home/apt,129,2,63,2020-03-15,1.21,1,362,12900
11,Bronx,92.75147928994085,401039,Big and Comfy room near Yankee1,2001830,Jose And Ysaira,Morris Heights,40.84886,-73.91223,Private room,40,3,170,2020-07-19,1.7,3,363,4000
12,Bronx,92.75147928994085,444430,comfy room minutes from museums,420542,Danielle,Mott Haven,40.81128,-73.92399,Private room,52,1,23,2018-03-27,0.24,1,0,5200
13,Bronx,92.75147928994085,449680,Artfully Decorated 2 Bedroom Apt,1812871,Karen,Longwood,40.81611,-73.89909,Entire home/apt,110,5,94,2020-03-16,0.95,1,140,11000
14,Bronx,92.75147928994085,506575,Bronx Room Near Yankees + Harlem,2001830,Jose And Ysaira,Morris Heights,40.84937,-73.91328,Private room,40,3,223,2020-06-30,2.24,3,363,4000
15,Bronx,92.75147928994085,525293,Yankee Nest,2556498,Chris,Concourse,40.82822,-73.92439,Entire home/apt,250,3,130,2020-06-03,1.33,1,364,25000
16,Bronx,92.75147928994085,715270,2 Beds/Queen & Full Beautiful Room 40 minsT.Square,3684360,Enrique,Allerton,40.85956,-73.87067,Private room,49,2,185,2020-04-15,1.94,3,226,4900
17,Bronx,92.75147928994085,755528,PRIVATE BATH/TONS OF SUNLIGHT/SAFE,3684360,Enrique,Allerton,40.8584,-73.86969,Entire home/apt,55,2,229,2020-08-14,2.41,3,343,5500
18,Bronx,92.75147928994085,773041,Nice beautiful room In the Bronx,3684360,Enrique,Allerton,40.85914,-73.86979,Private room,48,2,214,2020-01-15,2.29,3,336,4800
19,Bronx,92.75147928994085,858695,Very Large Private Room on quiet st,4494343,Douglas,Mount Eden,40.84058,-73.91382,Private room,30,2,333,2020-07-12,3.6,1,228,3000
20,Bronx,92.75147928994085,958444,Great 1BD waterfront City Island NY Apt-7,5214644,Noelva,City Island,40.85235,-73.78873,Entire home/apt,113,3,75,2020-08-15,0.86,1,28,11300
21,Bronx,92.75147928994085,1026683,Mi Casa Tu Casa Guesthouse Mexico,5652395,Julio,Concourse,40.81906,-73.92806,Private room,95,2,14,2020-01-01,0.19,2,365,9500
22,Bronx,92.75147928994085,1151717,Large one bedroom in Riverdale,6312767,Kate,Kingsbridge,40.88358,-73.90975,Entire home/apt,143,1,1,2013-10-14,0.01,1,365,14300
23,Bronx,92.75147928994085,1187643,PRIVATE ROOM IN NYC ARTIST LOFT,6494389,Daniel,Port Morris,40.80904,-73.93037,Private room,55,2,74,2020-07-05,0.85,1,351,5500
24,Bronx,92.75147928994085,1205815,"Calm Townhouse w/Garden: 2 Doubles,2 Floors, Charm",6586128,Martine,Port Morris,40.8023,-73.91317,Entire home/apt,130,7,2,2015-08-07,0.03,2,40,13000
25,Bronx,92.75147928994085,1278784,Private room minutes from midtown!,6959061,Roque,Mott Haven,40.81291,-73.90772,Private room,64,15,152,2020-07-31,1.76,1,365,6400
26,Bronx,92.75147928994085,1693028,Private Room with adjoining bathroom,8918030,Theodore,Williamsbridge,40.88296,-73.86264,Private room,54,1,23,2019-12-08,0.63,1,353,5400
